lat;lon;X;Y;B1;B2;B3;B4;B5;B6;B7;B8;B8A;B9;B11;B12
5.952502982;-73.48842747;2349.0;2743.0;0.010400000000000001;0.0091;0.033800000000000004;0.0261;0.0684;0.1948;0.23670000000000002;0.2511;0.26530000000000004;0.2599;0.1399;0.0
5.952502982;-73.47582747;2489.0;2743.0;0.0001;0.011000000000000001;0.0356;0.032100000000000004;0.059000000000000004;0.14930000000000002;0.1836;0.1804;0.1937;0.1746;0.1038;0.0
5.952502982;-73.46322747;2628.0;2742.0;0.0001;0.0218;0.0606;0.042300000000000004;0.085;0.2388;0.29500000000000004;0.3423;0.3166;0.2743;0.1837;0.0916
5.958802982;-73.64592747;605.0;2678.0;0.0531;0.0216;0.034300000000000004;0.034300000000000004;0.048;0.0855;0.0989;0.1188;0.1102;0.1797;0.0907;0.0623
5.958802982;-73.63962747;675.0;2678.0;0.1957;0.0722;0.07490000000000001;0.07640000000000001;0.13440000000000002;0.21400000000000002;0.2361;0.2011;0.2651;0.399;0.1918;0.1642
5.958802982;-73.63332747;745.0;2678.0;0.039900000000000005;0.0514;0.08170000000000001;0.0868;0.128;0.1932;0.2214;0.2338;0.2514;0.2518;0.29650000000000004;0.191
5.958802982;-73.51992747;2000.0;2674.0;0.0264;0.0286;0.0635;0.056900000000000006;0.1071;0.265;0.33490000000000003;0.36000000000000004;0.3532;0.2677;0.2107;0.115
5.958802982;-73.48842747;2349.0;2674.0;0.0098;0.0239;0.055400000000000005;0.049;0.08800000000000001;0.22010000000000002;0.269;0.29910000000000003;0.2959;0.3012;0.1996;0.0
5.965102982;-73.64592747;605.0;2608.0;0.040400000000000005;0.0393;0.0758;0.0713;0.1295;0.2677;0.3115;0.31920000000000004;0.3511;0.3448;0.20550000000000002;0.10590000000000001
6.009202982;-73.58922747;1232.0;2119.0;0.0375;0.0361;0.0687;0.0614;0.10360000000000001;0.2162;0.2586;0.2728;0.29100000000000004;0.2715;0.21080000000000002;0.11230000000000001
6.015502982;-73.58292747;1301.0;2049.0;0.019200000000000002;0.031200000000000002;0.0699;0.0519;0.1077;0.2404;0.2841;0.3234;0.3068;0.27440000000000003;0.2043;0.1077
6.021802982;-73.57662747;1371.0;1979.0;0.028;0.0262;0.0499;0.045000000000000005;0.10060000000000001;0.21130000000000002;0.25070000000000003;0.26380000000000003;0.28250000000000003;0.2975;0.22390000000000002;0.1155
6.021802982;-73.57032747;1441.0;1979.0;0.0159;0.028200000000000003;0.048400000000000006;0.038900000000000004;0.0819;0.24080000000000001;0.2967;0.29860000000000003;0.3488;0.35760000000000003;0.1734;0.08560000000000001
6.021802982;-73.56402747;1510.0;1979.0;0.029;0.0395;0.0718;0.0634;0.108;0.22890000000000002;0.2725;0.2892;0.2993;0.30410000000000004;0.22390000000000002;0.12710000000000002
6.028102982;-73.57662747;1371.0;1910.0;0.023700000000000002;0.052500000000000005;0.0883;0.0893;0.1442;0.275;0.31470000000000004;0.3195;0.3554;0.3181;0.27;0.16870000000000002
6.028102982;-73.57032747;1440.0;1910.0;0.0132;0.015700000000000002;0.0388;0.0246;0.0726;0.23440000000000003;0.2756;0.2711;0.3215;0.3068;0.15330000000000002;0.0683
6.028102982;-73.56402747;1510.0;1909.0;0.0198;0.033100000000000004;0.07200000000000001;0.0529;0.10590000000000001;0.271;0.3361;0.3282;0.3678;0.332;0.1887;0.08850000000000001
6.034402982;-73.57032747;1440.0;1840.0;0.6174000000000001;0.6597000000000001;0.6328;0.5959;0.6202000000000001;0.637;0.6505000000000001;0.6947;0.6472;0.7358;0.5564;0.49050000000000005
6.034402982;-73.56402747;1510.0;1840.0;0.131;0.0673;0.10690000000000001;0.11470000000000001;0.1587;0.263;0.3017;0.299;0.3377;0.3997;0.2469;0.1797
6.065902982;-73.52622747;1927.0;1490.0;0.0173;0.0236;0.0516;0.0359;0.0755;0.2235;0.274;0.2454;0.2944;0.30870000000000003;0.1689;0.0811
6.065902982;-73.48212747;2416.0;1489.0;0.0181;0.0279;0.052500000000000005;0.048600000000000004;0.082;0.20370000000000002;0.2534;0.25170000000000003;0.2923;0.2717;0.1862;0.0954
6.065902982;-73.47582747;2485.0;1489.0;0.0073;0.0142;0.039900000000000005;0.0274;0.0714;0.2368;0.2972;0.3305;0.3216;0.30410000000000004;0.1514;0.0679
6.065902982;-73.61442747;951.0;1493.0;0.0663;0.0683;0.10640000000000001;0.09570000000000001;0.1467;0.29860000000000003;0.3443;0.38880000000000003;0.386;0.3215;0.2954;0.1729
6.040702982;-73.57032747;1440.0;1770.0;0.0083;0.0109;0.0236;0.0167;0.0431;0.1168;0.139;0.11720000000000001;0.1558;0.1578;0.0585;0.025
6.040702982;-73.47582747;2486.0;1767.0;0.010100000000000001;0.0212;0.042;0.047400000000000005;0.0858;0.1769;0.2117;0.203;0.2371;0.2652;0.18810000000000002;0.1057
6.047002982;-73.57032747;1440.0;1701.0;0.0115;0.013800000000000002;0.028900000000000002;0.021500000000000002;0.053700000000000005;0.1721;0.19010000000000002;0.24910000000000002;0.22690000000000002;0.2409;0.112;0.052700000000000004
6.047002982;-73.56402747;1510.0;1700.0;0.014700000000000001;0.028200000000000003;0.05;0.044700000000000004;0.07350000000000001;0.1598;0.1902;0.21580000000000002;0.2152;0.22540000000000002;0.1617;0.092
6.047002982;-73.54512747;1719.0;1700.0;0.0238;0.029900000000000003;0.0589;0.0436;0.0876;0.2227;0.27140000000000003;0.2939;0.30760000000000004;0.3093;0.1759;0.0809
6.047002982;-73.53882747;1789.0;1700.0;0.0234;0.029900000000000003;0.0597;0.049800000000000004;0.0883;0.18780000000000002;0.2192;0.2258;0.24910000000000002;0.2531;0.1867;0.0912
6.047002982;-73.48842747;2346.0;1698.0;0.0172;0.027100000000000003;0.0589;0.0492;0.1032;0.1437;0.17250000000000001;0.23450000000000001;0.1899;0.2836;0.1525;0.0829
